question,answer,category
"What is Clement Howell High School?","Clement Howell High School is a secondary educational institution located in the Turks and Caicos Islands. The school follows the Caribbean Examination Council (CXC) curriculum and prepares students for external examinations.",School Information
"Who is the Principal of Clement Howell High School?","The Principal of Clement Howell High School is Mrs. Shanta Seymour.",Administration
"Who teaches IT at Clement Howell High School?","Mr. Asley Smith is the Information Technology teacher at Clement Howell High School.",Faculty
"Where is Clement Howell High School located?","Clement Howell High School is located in the Turks and Caicos Islands, a British Overseas Territory in the Caribbean.",Location
"What examination board does Clement Howell follow?","Clement Howell High School follows the Caribbean Examination Council (CXC) curriculum and prepares students for CXC external examinations.",Academics
"What type of external examinations do students take at Clement Howell?","Students at Clement Howell High School take CXC (Caribbean Examination Council) external examinations, which are recognized qualifications throughout the Caribbean region.",Examinations
"Tell me about the IT department at Clement Howell High School","The Information Technology department at Clement Howell High School is led by Mr. Asley Smith. The department prepares students for CXC IT examinations and provides essential computer skills education.",Departments
"What is the school's location?","Clement Howell High School is situated in the Turks and Caicos Islands, providing education to students in this British Overseas Territory.",Location
"Who leads the school administration?","The school administration is led by Principal Mrs. Shanta Seymour, who oversees the day-to-day operations and academic direction of Clement Howell High School.",Administration
"What qualifications can students achieve at Clement Howell?","Students at Clement Howell High School can achieve CXC qualifications through external examinations, which are widely recognized throughout the Caribbean and internationally.",Academics 
